S,rd,price
0.00000000,-0.02000000,0.00000000
0.00000000,-0.01586207,0.00000000
0.00000000,-0.01172414,0.00000000
0.00000000,-0.00758621,0.00000000
0.00000000,-0.00344828,0.00000000
0.00000000,0.00068966,0.00000000
0.00000000,0.00482759,0.00000000
0.00000000,0.00896552,0.00000000
0.00000000,0.01310345,0.00000000
0.00000000,0.01724138,0.00000000
0.00000000,0.02137931,0.00000000
0.00000000,0.02551724,0.00000000
0.00000000,0.02965517,0.00000000
0.00000000,0.03379310,0.00000000
0.00000000,0.03793103,0.00000000
0.00000000,0.04206897,0.00000000
0.00000000,0.04620690,0.00000000
0.00000000,0.05034483,0.00000000
0.00000000,0.05448276,0.00000000
0.00000000,0.05862069,0.00000000
0.00000000,0.06275862,0.00000000
0.00000000,0.06689655,0.00000000
0.00000000,0.07103448,0.00000000
0.00000000,0.07517241,0.00000000
0.00000000,0.07931034,0.00000000
0.00000000,0.08344828,0.00000000
0.00000000,0.08758621,0.00000000
0.00000000,0.09172414,0.00000000
0.00000000,0.09586207,0.00000000
0.00000000,0.10000000,0.00000000
0.05063291,-0.02000000,0.00000000
0.05063291,-0.01586207,0.00000000
0.05063291,-0.01172414,0.00000000
0.05063291,-0.00758621,-0.00000000
0.05063291,-0.00344828,-0.00000000
0.05063291,0.00068966,-0.00000000
0.05063291,0.00482759,0.00000000
0.05063291,0.00896552,0.00000000
0.05063291,0.01310345,0.00000000
0.05063291,0.01724138,0.00000000
0.05063291,0.02137931,0.00000000
0.05063291,0.02551724,0.00000000
0.05063291,0.02965517,0.00000000
0.05063291,0.03379310,0.00000000
0.05063291,0.03793103,0.00000000
0.05063291,0.04206897,0.00000000
0.05063291,0.04620690,0.00000000
0.05063291,0.05034483,0.00000000
0.05063291,0.05448276,0.00000000
0.05063291,0.05862069,0.00000000
0.05063291,0.06275862,0.00000000
0.05063291,0.06689655,0.00000000
0.05063291,0.07103448,0.00000000
0.05063291,0.07517241,0.00000000
0.05063291,0.07931034,0.00000000
0.05063291,0.08344828,0.00000000
0.05063291,0.08758621,0.00000000
0.05063291,0.09172414,0.00000000
0.05063291,0.09586207,0.00000000
0.05063291,0.10000000,0.00000000
0.10126582,-0.02000000,-0.00000000
0.10126582,-0.01586207,-0.00000000
0.10126582,-0.01172414,-0.00000000
0.10126582,-0.00758621,0.00000000
0.10126582,-0.00344828,0.00000000
0.10126582,0.00068966,0.00000000
0.10126582,0.00482759,0.00000000
0.10126582,0.00896552,0.00000000
0.10126582,0.01310345,0.00000000
0.10126582,0.01724138,0.00000000
0.10126582,0.02137931,0.00000000
0.10126582,0.02551724,0.00000000
0.10126582,0.02965517,0.00000000
0.10126582,0.03379310,0.00000000
0.10126582,0.03793103,0.00000000
0.10126582,0.04206897,0.00000000
0.10126582,0.04620690,0.00000000
0.10126582,0.05034483,0.00000000
0.10126582,0.05448276,0.00000000
0.10126582,0.05862069,0.00000000
0.10126582,0.06275862,0.00000000
0.10126582,0.06689655,0.00000000
0.10126582,0.07103448,0.00000000
0.10126582,0.07517241,0.00000000
0.10126582,0.07931034,0.00000000
0.10126582,0.08344828,0.00000000
0.10126582,0.08758621,0.00000000
0.10126582,0.09172414,0.00000000
0.10126582,0.09586207,0.00000000
0.10126582,0.10000000,0.00000000
0.15189873,-0.02000000,0.00000000
0.15189873,-0.01586207,0.00000000
